gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
0,4669.275,4955.15,31.08,21.09,2,2,50,50,4,2,60,14,8288,6813,0,909,237,124,1,900,-1
50,9171.9,4893.225,1412.99,1197.94,1,1,50,50,1,15,60,0,2231,123,0,581,72,0,0,3,-1
100,10989.025,10164.625,2668.22,3029.41,2,2,50,50,2,7,60,25,5070,905,0,574,19,1894,1,9018,-1
150,9973.725,9606.875,2359.1,2151.44,3,3,50,50,1,1,60,48,7861,533,0,3773,57,3451,9,6157,-1
200,5256.475,10043.625,3055.01,3404.98,2,2,50,50,25,2,60,56,184,182,0,1798,343,1721,1,15544,-1
250,10355.125,10002.05,3812.11,3745.92,2,2,20,21,6,4,1,20,3,3,0,235,0,3,0,5375,-1
300,9678.25,10121.0,3982.36,4006.36,2,2,21,21,2,2,2,35,202,199,0,0,1,900,1,4686,-1
350,9502.0,9893.0,3246.13,3226.61,2,2,20,20,1,1,0,21,204,204,0,0,0,636,0,4763,-1
400,9011.1,9574.0,3853.26,3995.23,3,3,21,20,2,2,1,34,228,173,0,0,0,1101,0,4798,-1
450,4824.0,9878.25,2990.02,3081.07,2,2,21,20,25,1,1,6,125,125,0,0,0,0,0,4991,-1
500,9870.25,9994.1,4122.87,4268.1,2,2,50,50,5,8,60,59,22,0,0,73,2,95,0,11818,-1
550,9961.0,9905.2,4495.74,4342.96,2,2,20,20,5,3,0,33,0,0,0,0,0,0,0,4805,-1
600,10018.5,9870.375,4301.74,4479.87,2,3,20,20,3,11,0,23,94,36,0,1,0,64,0,4596,-1
650,10006.95,9264.6,3564.5,3157.9,2,2,21,20,7,1,1,27,159,159,0,21,7,376,0,4581,-1
700,4922.0,4876.7,2556.58,2817.02,2,2,50,50,25,25,60,19,625,616,0,33,6,219,0,10648,-1
750,10060.0,9960.7,4060.53,4092.05,2,3,22,33,2,4,15,51,1,1,0,31,118,1,0,6015,-1
800,9932.9,10147.3,4582.48,4678.48,2,2,23,50,6,10,33,54,0,0,0,44,87,0,0,7864,-1
850,9889.5,10016.9,4458.78,4615.94,2,3,45,31,3,8,36,66,0,0,0,33,53,0,0,8373,-1
900,9889.5,4918.9,2122.91,2098.94,2,2,20,20,1,25,0,6,0,0,0,0,0,0,0,4655,-1
950,9870.0,9557.4,3858.79,3627.95,2,2,20,20,4,1,0,29,0,0,0,0,51,0,0,4380,-1
1000,9960.3,9844.1,4047.82,4051.48,2,3,50,50,5,3,60,68,30,29,0,0,54,242,0,11046,-1
1050,9867.8,9556.9,4576.58,4399.59,2,2,50,50,7,1,60,84,58,19,0,0,2,561,0,11969,-1
1100,9525.4,9553.3,3201.05,3031.3,2,2,23,23,1,1,6,18,2,0,0,0,0,5,0,5613,-1
1150,9590.05,9933.75,3816.15,4048.48,2,2,20,20,3,7,0,23,268,1,0,0,0,708,0,4466,-1
1200,9869.5,4915.75,4045.46,3981.26,2,2,20,20,3,25,0,29,2,0,0,0,0,0,0,4870,-1
1250,9869.5,9624.75,3796.19,3626.3,2,2,20,20,1,1,0,16,0,0,0,0,0,0,0,4982,-1
1300,4826.1,10126.6,3521.61,3594.97,2,2,20,20,25,3,0,28,3,0,0,0,0,9,0,4944,-1
1350,9910.95,9960.85,4589.54,4567.48,3,3,50,50,5,6,60,79,265,2,0,4,0,2018,0,11981,-1
1400,10020.05,9516.45,4443.66,4449.65,2,2,50,50,5,1,60,78,338,2,0,2,6,2388,0,12130,-1
1450,9758.6,9682.75,3590.43,3530.57,3,2,50,50,1,1,60,56,11,0,0,0,0,81,0,12391,-1
1500,9871.45,9977.15,4086.38,4024.43,2,2,50,50,4,2,60,66,166,0,0,0,0,846,0,12112,-1
1550,4828.6,9872.7,3071.32,3090.54,2,2,50,50,25,1,60,29,23,22,0,0,0,9,0,12387,-1
1600,4910.8,9573.05,3372.36,3549.3,2,2,50,50,25,1,60,46,394,5,0,0,1,1526,0,11983,-1
1650,10016.2,9276.95,4022.76,3976.19,2,2,50,50,3,2,60,52,393,0,0,2,2,1843,0,11947,-1
1700,9626.0,9668.85,3705.13,3642.75,2,2,50,50,2,2,60,39,1641,265,0,0,0,1943,0,10684,-1
1750,9570.75,9420.65,3504.36,3397.73,2,2,50,50,2,1,60,39,498,77,0,0,0,2016,0,11944,-1
1800,9867.5,9887.15,4408.07,4326.67,3,3,50,50,6,6,60,63,3491,283,0,37,13,2386,0,8340,-1
1850,9646.65,9873.65,4250.5,4194.12,2,2,50,50,5,5,60,59,2174,158,0,63,51,2789,1,9746,-1
1900,10021.75,9963.35,4344.35,4176.37,2,2,50,50,10,8,60,52,430,6,0,6,1,1906,0,11985,-1
1950,10009.05,9858.7,3945.3,4038.98,2,2,50,50,6,6,60,38,183,0,0,7,6,549,0,12303,-1
2000,9766.3,10119.1,3622.43,3813.41,3,3,50,50,2,4,60,37,80,1,0,0,5,269,0,12314,-1
2050,9580.45,10016.1,3927.12,3889.82,3,3,50,50,3,5,60,42,552,1,0,23,39,1609,0,11510,-1
2100,9616.7,9855.85,3223.46,3127.04,2,2,50,50,2,1,60,16,1129,1,0,6,32,1019,0,10952,-1
2150,9927.15,9708.7,3547.26,3655.9,2,2,50,50,4,6,60,28,5607,3,0,122,12,495,2,5854,-1
2200,10097.55,9711.65,4346.92,4458.6,3,3,50,50,5,5,60,53,4275,0,0,444,172,1579,1,7977,-1
2250,12031.5,10328.8,4275.35,4207.2,3,3,50,50,1,4,60,50,1293,0,0,1207,29,1022,0,9305,-1
2300,10141.75,10182.6,4190.33,4033.52,3,3,50,50,7,6,60,45,139,3,0,248,14,336,0,11713,-1
2350,10305.25,10729.4,4048.37,3839.06,2,2,50,50,6,3,60,44,375,0,0,336,17,474,0,11594,-1
2400,10253.4,10107.45,4023.47,4263.26,2,2,50,50,2,7,60,49,74,1,0,280,51,218,0,13193,-1
2450,11214.55,11017.0,4523.32,4458.4,3,3,50,50,2,2,60,55,30,0,0,508,112,229,0,11603,-1
2500,10217.6,9990.0,4725.32,4688.12,3,3,50,50,11,10,60,55,274,0,0,697,67,984,1,10445,-1
2550,12749.25,11439.15,4617.07,4565.24,2,3,50,50,1,1,60,60,26,0,0,279,43,134,0,11575,-1
2600,10398.25,10304.8,4732.22,4711.49,3,3,50,50,11,9,60,60,4,0,0,83,63,21,0,11812,-1
2650,10062.0,9900.25,4151.44,4221.96,2,2,50,50,7,7,60,53,2,0,0,85,99,0,0,11940,-1
